user_id,watch_time,session_duration,visit_frequency,completion_rate,number_of_sessions,action_preference,family_preference,comedy_preference,drama_preference,primary_device,subscription_tier,weekend_watch_ratio,skip_intro_rate
USR_00496,2171.8,76.4,22,0.867,28,0.696,0.177,0.046,0.081,Web,Premium,0.386,0.883
USR_00206,1660.6,55.3,22,0.804,30,0.725,0.045,0.084,0.146,Mobile,Basic,0.523,0.895
USR_02674,689.1,22.9,1,0.507,30,0.295,0.0,0.604,0.101,Mobile,Basic,0.179,0.004
USR_03358,549.8,18.8,8,0.579,29,0.199,0.154,0.475,0.172,Mobile,Standard,0.462,0.314
USR_03831,1737.3,42.6,21,0.531,40,0.172,0.289,0.244,0.295,Web,Standard,0.362,0.489
USR_00306,2962.3,50.0,13,0.816,59,0.89,0.008,0.102,0.0,Console,Basic,0.501,0.75
USR_03794,1979.3,47.0,11,0.799,42,0.34,0.283,0.212,0.165,Tablet,Premium,0.416,0.733
USR_02202,871.2,35.6,9,0.828,24,0.076,0.745,0.179,0.0,SmartTV,Basic,0.763,0.306
USR_01062,2345.5,60.4,19,0.909,38,0.826,0.089,0.085,0.0,Web,Premium,0.474,0.896
USR_00844,2472.1,63.8,15,0.914,38,0.842,0.025,0.059,0.074,Console,Standard,0.402,0.873
USR_03873,2227.1,32.2,18,0.706,65,0.247,0.239,0.229,0.285,SmartTV,Free,0.567,0.413
USR_02252,479.0,18.0,8,0.322,26,0.078,0.062,0.638,0.222,Mobile,Free,0.331,0.314
USR_00212,2519.6,80.2,21,0.858,31,0.722,0.09,0.091,0.097,SmartTV,Premium,0.368,0.956
USR_03998,1642.0,37.0,14,0.892,44,0.284,0.204,0.356,0.156,Mobile,Basic,0.42,0.95
USR_00680,2074.1,63.8,18,0.883,32,0.803,0.0,0.197,0.0,Tablet,Premium,0.397,0.688
USR_00566,2133.5,63.2,13,0.907,33,0.723,0.126,0.131,0.02,Tablet,Standard,0.439,0.889
USR_03291,306.2,21.9,5,0.555,13,0.262,0.233,0.505,0.0,Tablet,Basic,0.172,0.351
USR_04355,1959.0,46.9,12,0.673,41,0.379,0.259,0.169,0.193,SmartTV,Premium,0.442,0.55
USR_00681,2363.1,66.9,24,0.898,35,0.77,0.052,0.177,0.001,SmartTV,Premium,0.302,0.861
USR_00181,2388.1,58.4,18,0.905,40,0.737,0.059,0.127,0.077,SmartTV,Standard,0.421,0.815
USR_04280,1269.3,33.1,14,0.751,38,0.287,0.185,0.341,0.187,Web,Standard,0.417,0.63
USR_02496,527.2,14.9,4,0.232,35,0.261,0.142,0.567,0.03,Tablet,Basic,0.383,0.186
USR_02317,450.2,19.0,6,0.431,23,0.195,0.204,0.601,0.0,Tablet,Basic,0.352,0.233
USR_04274,1870.0,39.3,20,0.637,47,0.291,0.161,0.245,0.303,Web,Basic,0.27,0.781
USR_00279,2848.5,49.4,24,0.869,57,0.809,0.014,0.104,0.073,Tablet,Premium,0.181,0.835
USR_03684,2216.7,45.8,18,0.691,48,0.15,0.281,0.247,0.322,Mobile,Standard,0.525,0.536
USR_04763,3419.4,93.3,19,0.943,36,0.399,0.091,0.17,0.34,SmartTV,Premium,0.661,0.953
USR_00433,2792.8,43.4,21,0.862,64,0.689,0.074,0.073,0.164,Mobile,Basic,0.472,0.764
USR_00290,2492.0,58.8,20,0.874,42,0.732,0.0,0.116,0.152,Console,Standard,0.56,0.851
USR_01028,2666.2,50.4,21,0.956,52,0.884,0.048,0.068,0.0,SmartTV,Standard,0.351,0.905
USR_00536,2822.4,53.4,26,0.827,52,0.707,0.1,0.098,0.095,SmartTV,Standard,0.53,0.796
USR_03632,1797.6,42.4,17,0.683,42,0.371,0.144,0.176,0.309,SmartTV,Basic,0.441,0.575
USR_00189,2312.3,68.6,24,0.704,33,0.834,0.067,0.098,0.001,Tablet,Basic,0.389,0.94
USR_02175,937.0,28.9,9,0.735,32,0.085,0.781,0.134,0.0,SmartTV,Free,0.791,0.589
USR_03916,1961.3,40.2,19,0.695,48,0.15,0.25,0.173,0.427,Tablet,Standard,0.337,0.748
USR_01863,1069.6,48.5,8,0.667,22,0.052,0.676,0.0,0.272,SmartTV,Standard,0.662,0.602
USR_00271,1902.8,57.6,26,0.849,33,0.715,0.051,0.159,0.075,Tablet,Standard,0.436,0.808
USR_01729,659.7,63.1,7,0.865,10,0.004,0.88,0.116,0.0,Tablet,Free,0.642,0.443
USR_04076,1316.4,42.5,16,0.802,30,0.32,0.213,0.26,0.207,Web,Standard,0.467,0.715
USR_02158,967.5,69.7,6,0.653,13,0.102,0.705,0.152,0.041,Mobile,Standard,0.839,0.374
USR_03932,1857.8,48.2,23,0.755,38,0.329,0.222,0.221,0.228,SmartTV,Standard,0.496,0.502
USR_00112,2253.8,38.3,15,0.941,58,0.804,0.093,0.103,0.0,Console,Free,0.468,0.918
USR_02385,460.1,16.9,3,0.491,27,0.276,0.127,0.402,0.195,Mobile,Free,0.287,0.291
USR_00221,2640.5,65.7,20,0.988,40,0.79,0.079,0.131,0.0,SmartTV,Standard,0.454,0.917
USR_00628,2382.4,59.5,27,0.845,40,0.82,0.0,0.123,0.057,SmartTV,Premium,0.389,0.789
USR_01182,2327.2,51.5,23,0.972,45,0.836,0.117,0.047,0.0,SmartTV,Basic,0.445,0.862
USR_03382,467.1,18.9,9,0.349,24,0.287,0.122,0.446,0.145,SmartTV,Free,0.338,0.221
USR_02423,580.5,16.5,9,0.464,35,0.03,0.186,0.408,0.376,Tablet,Basic,0.453,0.435
USR_00791,1504.5,59.0,20,0.899,25,0.833,0.111,0.025,0.031,Mobile,Premium,0.375,0.884
USR_04276,1367.2,26.2,16,0.845,52,0.298,0.222,0.231,0.249,Web,Standard,0.359,0.715
USR_00462,3454.6,65.4,25,0.888,52,0.767,0.041,0.059,0.133,SmartTV,Standard,0.365,0.742
USR_04403,3083.9,108.1,17,0.945,28,0.394,0.08,0.055,0.471,SmartTV,Premium,0.411,0.948
USR_00552,2280.6,41.6,26,0.844,54,0.629,0.056,0.102,0.213,SmartTV,Basic,0.433,0.959
USR_03130,481.4,22.9,5,0.392,21,0.272,0.099,0.629,0.0,Mobile,Free,0.259,0.183
USR_01445,1180.1,62.9,5,0.512,18,0.04,0.763,0.197,0.0,Tablet,Standard,0.588,0.457
USR_00199,2677.1,69.4,21,0.853,38,0.78,0.084,0.028,0.108,SmartTV,Basic,0.236,0.806
USR_02590,369.7,23.3,7,0.504,15,0.109,0.129,0.486,0.276,Web,Free,0.525,0.326
USR_00403,3045.8,50.8,27,0.875,59,0.614,0.096,0.071,0.219,SmartTV,Free,0.476,0.852
USR_03960,1711.7,34.8,19,0.634,49,0.269,0.282,0.203,0.246,Mobile,Free,0.467,0.52
USR_04190,1431.3,28.7,17,0.817,49,0.237,0.143,0.335,0.285,Web,Standard,0.472,0.75
USR_04764,3794.2,84.8,12,0.911,44,0.309,0.118,0.061,0.512,Tablet,Premium,0.478,0.923
USR_02096,1106.8,45.1,6,0.75,24,0.017,0.812,0.062,0.109,SmartTV,Premium,0.744,0.342
USR_02901,411.1,18.1,5,0.367,22,0.139,0.125,0.559,0.177,Tablet,Free,0.399,0.31
USR_04463,2156.3,77.2,20,0.928,27,0.211,0.19,0.2,0.399,SmartTV,Premium,0.524,0.896
USR_00651,2648.0,46.2,20,0.782,57,0.797,0.058,0.064,0.081,Mobile,Standard,0.405,0.864
USR_00709,2281.0,45.7,19,0.88,49,0.685,0.04,0.074,0.201,Console,Standard,0.59,0.628
USR_01481,1452.7,42.7,5,0.552,34,0.09,0.768,0.107,0.035,SmartTV,Basic,0.758,0.476
USR_04415,3868.6,84.5,19,0.941,45,0.199,0.065,0.22,0.516,SmartTV,Standard,0.555,0.943
USR_03066,860.4,17.1,5,0.543,35,0.194,0.234,0.572,0.0,Mobile,Standard,0.292,0.189
USR_02396,605.6,10.3,8,0.251,35,0.195,0.126,0.466,0.213,Mobile,Free,0.328,0.092
USR_01770,485.5,31.6,3,0.646,15,0.107,0.793,0.1,0.0,Console,Premium,0.753,0.496
USR_00315,2488.3,44.2,15,0.895,56,0.831,0.075,0.094,0.0,SmartTV,Premium,0.373,0.763
USR_03762,1800.9,42.4,16,0.743,42,0.288,0.314,0.278,0.12,SmartTV,Basic,0.381,0.638
USR_04910,2319.0,94.9,12,0.964,24,0.153,0.098,0.289,0.46,SmartTV,Premium,0.354,0.884
USR_00114,1903.4,66.0,15,0.821,28,0.865,0.021,0.089,0.025,SmartTV,Standard,0.464,0.773
USR_00961,1873.8,53.2,15,0.856,35,0.783,0.026,0.077,0.114,SmartTV,Standard,0.307,0.856
USR_02911,401.4,12.5,7,0.441,32,0.274,0.167,0.559,0.0,Mobile,Free,0.31,0.316
USR_03406,691.8,11.2,4,0.432,35,0.207,0.18,0.613,0.0,Tablet,Basic,0.351,0.266
USR_01624,965.5,45.9,2,0.632,21,0.167,0.713,0.12,0.0,SmartTV,Free,0.682,0.463
USR_03323,522.8,19.8,1,0.304,26,0.0,0.044,0.556,0.4,Mobile,Basic,0.223,0.175
USR_05000,2627.7,98.5,14,0.969,26,0.053,0.01,0.147,0.79,Tablet,Premium,0.459,0.958
USR_01819,867.0,69.0,6,0.898,12,0.105,0.795,0.099,0.001,SmartTV,Standard,0.721,0.304
USR_03195,251.6,10.5,2,0.482,23,0.191,0.191,0.421,0.197,SmartTV,Free,0.1,0.28
USR_03008,103.1,16.6,1,0.21,6,0.176,0.08,0.525,0.219,Web,Basic,0.348,0.32
USR_03415,312.7,17.5,6,0.402,17,0.202,0.166,0.495,0.137,Tablet,Free,0.33,0.274
USR_04529,4054.1,45.0,6,0.983,60,0.267,0.107,0.148,0.478,SmartTV,Standard,0.336,0.878
USR_01898,1405.2,79.0,8,0.696,17,0.063,0.627,0.223,0.087,SmartTV,Standard,0.867,0.313
USR_01919,914.3,40.9,7,0.808,22,0.08,0.774,0.089,0.057,Mobile,Premium,0.618,0.462
USR_01271,1091.8,61.9,7,0.787,17,0.0,0.614,0.15,0.236,SmartTV,Premium,0.713,0.311
USR_04177,1970.3,32.3,19,0.687,60,0.289,0.17,0.246,0.295,Mobile,Standard,0.276,0.631
USR_04963,2703.8,99.8,19,1.0,27,0.218,0.086,0.194,0.502,SmartTV,Premium,0.517,0.94
USR_04884,2638.1,72.5,14,0.969,36,0.295,0.061,0.118,0.526,Mobile,Premium,0.564,0.946
USR_04095,1620.1,37.6,14,0.658,43,0.299,0.219,0.288,0.194,SmartTV,Standard,0.378,0.625
USR_03160,404.7,17.8,4,0.479,22,0.205,0.133,0.438,0.224,SmartTV,Premium,0.433,0.22
USR_01814,988.4,57.4,3,0.573,17,0.0,0.671,0.166,0.163,SmartTV,Premium,0.691,0.707
USR_02427,363.7,14.0,3,0.517,25,0.211,0.195,0.426,0.168,SmartTV,Standard,0.143,0.322
USR_03951,2199.3,49.4,16,0.784,44,0.403,0.215,0.286,0.096,Web,Basic,0.361,0.778
USR_04429,2790.0,72.9,15,0.985,38,0.291,0.119,0.244,0.346,Tablet,Basic,0.528,1.0
USR_02143,692.5,38.6,7,0.578,17,0.041,0.727,0.153,0.079,Tablet,Premium,0.538,0.468
USR_01627,849.3,40.9,7,0.675,20,0.118,0.757,0.125,0.0,SmartTV,Standard,0.595,0.355
USR_00790,2914.5,67.4,23,0.822,43,0.658,0.066,0.091,0.185,Mobile,Standard,0.427,0.849
USR_03787,1383.7,34.9,17,0.645,39,0.276,0.243,0.173,0.308,Mobile,Standard,0.343,0.95
USR_01865,975.8,38.0,2,0.798,25,0.0,0.779,0.142,0.079,Tablet,Standard,0.892,0.54
USR_02866,612.3,17.3,5,0.678,35,0.194,0.061,0.568,0.177,Tablet,Free,0.41,0.289
USR_00872,2185.8,41.5,15,0.943,52,0.614,0.07,0.144,0.172,Console,Premium,0.304,0.776
USR_03272,225.7,10.1,4,0.315,22,0.174,0.084,0.45,0.292,Mobile,Standard,0.313,0.29
USR_03834,1269.4,41.4,11,0.743,30,0.353,0.224,0.286,0.137,Web,Standard,0.425,0.582
USR_00074,3584.6,44.7,24,0.845,80,0.754,0.155,0.091,0.0,SmartTV,Basic,0.512,0.794
USR_01753,1168.5,58.3,2,0.782,20,0.074,0.676,0.051,0.199,SmartTV,Basic,0.679,0.424
USR_01422,900.3,34.1,7,0.755,26,0.086,0.843,0.071,0.0,SmartTV,Free,0.73,0.27
USR_04222,1463.8,51.1,19,0.727,28,0.377,0.212,0.164,0.247,Web,Standard,0.424,0.503
USR_04694,2563.5,94.7,17,0.975,27,0.271,0.076,0.225,0.428,Web,Premium,0.467,1.0
USR_04370,2327.9,46.4,18,0.727,50,0.298,0.242,0.179,0.281,Web,Premium,0.463,0.472
USR_04576,3695.6,81.0,22,0.907,45,0.088,0.076,0.157,0.679,Console,Standard,0.529,0.908
USR_03810,1637.6,21.3,14,0.715,65,0.288,0.215,0.236,0.261,Tablet,Basic,0.348,0.691
USR_02245,739.8,47.0,2,0.696,15,0.139,0.578,0.169,0.114,SmartTV,Premium,0.619,0.516
USR_03048,242.1,5.0,4,0.55,35,0.186,0.148,0.54,0.126,SmartTV,Basic,0.147,0.239
USR_02446,317.1,5.0,14,0.443,35,0.196,0.004,0.403,0.397,SmartTV,Free,0.549,0.525
USR_00495,1938.4,55.7,22,0.815,34,0.764,0.076,0.118,0.042,SmartTV,Standard,0.46,0.873
USR_03131,420.4,10.0,6,0.488,35,0.103,0.089,0.582,0.226,Mobile,Basic,0.219,0.253
USR_04322,1463.8,36.5,12,0.75,40,0.341,0.282,0.19,0.187,Mobile,Free,0.5,0.897
USR_04398,1854.3,28.0,19,0.718,65,0.298,0.246,0.163,0.293,SmartTV,Premium,0.421,0.781
USR_01165,2510.6,38.0,20,0.843,66,0.738,0.008,0.156,0.098,SmartTV,Standard,0.548,0.928
USR_03735,1803.9,52.1,14,0.777,34,0.31,0.143,0.325,0.222,SmartTV,Standard,0.296,0.494
USR_01731,767.1,50.7,7,0.925,15,0.07,0.737,0.192,0.001,SmartTV,Standard,0.772,0.448
USR_04813,2893.2,75.4,13,0.949,38,0.256,0.044,0.23,0.47,Mobile,Premium,0.691,0.823
USR_02403,561.5,21.6,8,0.318,26,0.179,0.159,0.594,0.068,Tablet,Premium,0.269,0.392
USR_03404,611.4,17.7,3,0.453,34,0.279,0.064,0.571,0.086,Tablet,Free,0.1,0.143
USR_00619,2660.5,60.5,28,0.955,43,0.718,0.093,0.052,0.137,SmartTV,Standard,0.476,0.809
USR_01698,1198.6,39.4,7,0.566,30,0.036,0.763,0.148,0.053,Tablet,Premium,0.729,0.446
USR_03594,1726.2,40.7,11,0.735,42,0.245,0.137,0.371,0.247,Web,Basic,0.428,0.652
USR_01958,1349.9,64.4,9,0.742,20,0.034,0.693,0.226,0.047,SmartTV,Standard,0.619,0.547
USR_01222,2405.2,66.8,20,0.8,36,0.711,0.046,0.15,0.093,Tablet,Standard,0.417,0.835
USR_02074,1086.4,55.2,10,0.698,19,0.067,0.665,0.1,0.168,SmartTV,Basic,0.519,0.311
USR_03411,260.4,15.8,7,0.594,16,0.203,0.076,0.508,0.213,Mobile,Basic,0.459,0.469
USR_00870,2225.2,52.9,21,0.777,42,0.775,0.054,0.172,-0.001,Console,Premium,0.345,0.705
USR_02719,492.8,11.8,5,0.264,35,0.206,0.129,0.483,0.182,Mobile,Free,0.296,0.058
USR_01043,1869.8,60.2,26,0.925,31,0.873,0.051,0.076,0.0,SmartTV,Premium,0.361,0.846
USR_01362,1436.8,46.5,7,0.863,30,0.095,0.767,0.138,0.0,SmartTV,Standard,0.595,0.35
USR_00357,2034.1,64.9,22,0.881,31,0.692,0.112,0.133,0.063,SmartTV,Standard,0.376,0.93
USR_01163,1721.9,56.8,19,0.918,30,0.7,0.029,0.0,0.271,Console,Standard,0.434,0.837
USR_02766,228.4,22.4,9,0.541,10,0.252,0.14,0.548,0.06,Mobile,Free,0.275,0.146
USR_03253,318.0,17.9,3,0.393,17,0.28,0.052,0.466,0.202,Mobile,Basic,0.412,0.0
USR_01439,685.3,20.0,8,0.767,34,0.075,0.667,0.168,0.09,Tablet,Premium,0.672,0.622
USR_03604,2213.7,38.9,19,0.856,56,0.33,0.228,0.241,0.201,SmartTV,Standard,0.445,0.586
USR_04941,3744.1,77.2,12,0.984,48,0.308,0.108,0.25,0.334,SmartTV,Premium,0.569,0.928
USR_04594,3759.2,113.7,13,0.948,33,0.28,0.188,0.196,0.336,SmartTV,Standard,0.486,0.838
USR_03640,2078.7,53.0,16,0.734,39,0.285,0.165,0.272,0.278,Web,Standard,0.492,0.633
USR_01254,992.4,66.3,10,0.442,14,0.118,0.737,0.145,0.0,SmartTV,Standard,0.507,0.327
USR_03366,450.0,29.1,6,0.436,15,0.332,0.073,0.595,0.0,Mobile,Standard,0.286,0.463
USR_00333,2625.1,48.6,26,0.827,54,0.885,0.0,0.115,0.0,SmartTV,Standard,0.458,0.786
USR_03695,1371.0,45.0,19,0.81,30,0.392,0.197,0.26,0.151,SmartTV,Standard,0.286,0.73
USR_03569,1836.4,49.7,16,0.768,36,0.3,0.257,0.299,0.144,SmartTV,Standard,0.563,0.594
USR_02729,397.5,21.6,5,0.392,18,0.213,0.149,0.591,0.047,Mobile,Free,0.184,0.258
USR_03668,1526.4,57.0,23,0.896,26,0.284,0.252,0.197,0.267,SmartTV,Premium,0.368,0.516
USR_01631,1148.9,48.4,8,0.681,23,0.029,0.722,0.06,0.189,SmartTV,Free,0.668,0.616
USR_01117,2364.1,47.7,14,0.854,49,0.678,0.069,0.067,0.186,Console,Premium,0.509,0.978
USR_01850,711.4,31.3,8,0.687,22,0.072,0.687,0.241,0.0,Mobile,Standard,0.723,0.656
USR_03555,1071.0,34.2,18,0.746,31,0.393,0.182,0.262,0.163,Mobile,Standard,0.502,0.571
USR_03154,657.0,11.2,8,0.451,35,0.273,0.05,0.323,0.354,Tablet,Free,0.254,0.364
USR_03266,304.9,11.7,12,0.332,26,0.158,0.087,0.538,0.217,Mobile,Standard,0.462,0.0
USR_01666,1050.1,28.7,3,0.907,36,0.054,0.701,0.073,0.172,SmartTV,Premium,0.775,0.326
USR_00446,2182.7,54.0,22,0.937,40,0.827,0.052,0.09,0.031,SmartTV,Premium,0.461,0.952
USR_02246,989.7,53.7,8,0.826,18,0.097,0.649,0.146,0.108,Tablet,Free,0.643,0.439
USR_00453,2702.4,59.6,18,0.895,45,0.674,0.05,0.151,0.125,Web,Premium,0.484,0.851
USR_01552,782.7,34.9,8,0.581,22,0.094,0.646,0.013,0.247,Tablet,Free,0.711,0.438
USR_04435,2925.1,79.4,15,1.0,36,0.162,0.002,0.093,0.743,SmartTV,Premium,0.618,0.915
USR_02955,519.9,14.9,2,0.491,34,0.123,0.162,0.596,0.119,Web,Free,0.294,0.283
USR_00015,2516.9,64.4,17,0.801,39,0.818,0.071,0.111,0.0,SmartTV,Premium,0.448,0.796
USR_03629,2430.1,48.0,18,0.519,50,0.317,0.356,0.231,0.096,Web,Standard,0.327,0.67
USR_00946,2509.8,50.5,14,0.821,49,0.711,0.117,0.11,0.062,Tablet,Premium,0.473,0.73
USR_00248,2495.1,32.5,24,0.842,76,0.673,0.035,0.091,0.201,Web,Premium,0.372,0.674
USR_04698,2013.7,74.1,12,0.93,27,0.264,0.102,0.189,0.445,SmartTV,Standard,0.645,0.949
USR_00361,1775.2,35.8,17,0.89,49,0.7,0.081,0.102,0.117,Tablet,Basic,0.263,0.902
USR_04657,3211.2,83.4,6,0.955,38,0.24,0.105,0.117,0.538,SmartTV,Premium,0.633,0.895
USR_01615,651.1,56.7,7,0.699,11,0.066,0.719,0.113,0.102,SmartTV,Premium,0.583,0.477
USR_02304,396.0,35.2,7,0.438,11,0.254,0.094,0.622,0.03,Mobile,Free,0.393,0.347
USR_04142,1769.0,39.1,18,0.782,45,0.237,0.101,0.21,0.452,Mobile,Basic,0.206,0.56
USR_03169,459.2,21.5,6,0.431,21,0.188,0.136,0.462,0.214,Mobile,Free,0.434,0.0
USR_02479,494.7,29.3,6,0.407,16,0.179,0.015,0.485,0.321,Web,Free,0.317,0.339
USR_04215,765.3,52.2,19,0.755,14,0.246,0.203,0.22,0.331,Mobile,Standard,0.404,0.514
USR_04181,1811.0,56.1,20,0.773,32,0.282,0.197,0.275,0.246,SmartTV,Premium,0.429,0.605
USR_04885,2445.4,79.9,17,0.934,30,0.225,0.107,0.195,0.473,SmartTV,Free,0.55,0.887
USR_03164,91.2,13.4,4,0.529,6,0.218,0.064,0.623,0.095,Mobile,Basic,0.38,0.344
USR_00491,2757.6,66.7,19,0.871,41,0.711,0.015,0.115,0.159,Tablet,Standard,0.318,0.817
USR_00863,2741.5,60.4,28,0.905,45,0.801,0.069,0.13,0.0,Mobile,Premium,0.394,0.851
USR_01741,968.2,72.0,11,0.643,13,0.097,0.786,0.117,0.0,Tablet,Basic,0.617,0.441
USR_04100,1475.5,34.2,16,0.772,43,0.3,0.191,0.169,0.34,Web,Standard,0.395,0.641
USR_04386,2120.0,45.8,17,0.715,46,0.238,0.288,0.242,0.232,Web,Standard,0.349,0.614
USR_02448,516.5,16.9,8,0.501,30,0.139,0.207,0.392,0.262,Tablet,Basic,0.481,0.217
USR_04231,1833.1,45.7,13,0.748,40,0.202,0.279,0.312,0.207,SmartTV,Standard,0.374,0.778
USR_00507,2243.8,64.2,17,0.906,34,0.627,0.038,0.084,0.251,Mobile,Standard,0.554,0.828
USR_02678,279.8,16.0,5,0.554,17,0.231,0.177,0.581,0.011,Mobile,Standard,0.416,0.25
USR_02996,488.8,12.9,3,0.51,35,0.086,0.117,0.492,0.305,Mobile,Standard,0.474,0.335
USR_01943,1170.5,48.4,4,0.685,24,0.123,0.772,0.104,0.001,Mobile,Premium,0.514,0.521
USR_01223,2106.6,53.8,27,0.911,39,0.633,0.0,0.097,0.27,SmartTV,Standard,0.323,0.902
USR_01114,2674.0,58.6,15,0.919,45,0.893,0.022,0.085,0.0,Web,Standard,0.372,0.949
USR_01906,820.3,65.5,6,0.503,12,0.088,0.674,0.062,0.176,SmartTV,Standard,0.71,0.394
USR_03424,505.2,5.8,9,0.618,35,0.344,0.16,0.399,0.097,Mobile,Free,0.344,0.083
USR_01878,720.9,75.8,13,0.764,9,0.083,0.625,0.194,0.098,SmartTV,Standard,0.701,0.485
USR_04673,3095.8,77.6,18,1.0,39,0.393,0.065,0.237,0.305,SmartTV,Premium,0.65,0.933
USR_00434,3173.6,64.5,19,0.931,49,0.669,0.118,0.101,0.112,SmartTV,Premium,0.372,0.826
USR_02365,341.8,13.2,10,0.283,25,0.192,0.138,0.417,0.253,Mobile,Standard,0.428,0.254
USR_03155,713.5,11.8,5,0.33,35,0.219,0.004,0.685,0.092,Tablet,Basic,0.353,0.438
USR_02836,368.5,24.3,10,0.394,15,0.366,0.173,0.384,0.077,Mobile,Basic,0.199,0.213
USR_02093,1274.5,70.7,9,0.677,18,0.161,0.652,0.088,0.099,SmartTV,Standard,0.62,0.483
USR_03011,537.1,9.4,7,0.333,35,0.071,0.061,0.523,0.345,Mobile,Standard,0.517,0.437
USR_03163,559.9,28.0,6,0.383,19,0.26,0.0,0.545,0.195,Mobile,Free,0.224,0.419
USR_02946,647.7,24.7,5,0.516,26,0.333,0.18,0.487,0.0,Mobile,Basic,0.159,0.349
USR_03917,882.5,45.0,17,0.819,19,0.369,0.155,0.251,0.225,SmartTV,Basic,0.475,0.609
USR_02917,314.7,21.8,8,0.384,14,0.161,0.125,0.682,0.032,Mobile,Standard,0.355,0.11
USR_01103,2839.8,57.2,21,0.865,49,0.761,0.084,0.118,0.037,Web,Premium,0.417,0.971
USR_01449,342.2,63.2,9,0.649,5,0.108,0.622,0.144,0.126,SmartTV,Standard,0.759,0.1
USR_01721,1269.4,55.2,7,0.737,23,0.039,0.735,0.073,0.153,Tablet,Free,0.502,0.426
USR_04519,3307.2,69.2,12,0.937,47,0.244,0.098,0.202,0.456,Web,Basic,0.521,0.952
USR_03843,1230.6,45.3,24,0.662,27,0.25,0.359,0.209,0.182,Web,Premium,0.516,0.623
USR_00157,2618.1,44.8,19,0.942,58,0.75,0.044,0.052,0.154,SmartTV,Premium,0.454,1.0
USR_02979,337.4,11.9,7,0.361,28,0.218,0.137,0.645,0.0,Mobile,Basic,0.444,0.198
USR_01774,1278.2,34.0,11,0.923,37,0.0,0.612,0.186,0.202,SmartTV,Premium,0.731,0.513
USR_00616,2931.9,69.7,17,0.906,42,0.657,0.103,0.087,0.153,SmartTV,Basic,0.521,0.889
USR_00644,3107.6,43.6,18,0.739,71,0.887,0.024,0.089,0.0,SmartTV,Standard,0.347,0.906
USR_01936,909.3,37.3,8,0.555,24,0.0,0.742,0.141,0.117,SmartTV,Standard,0.623,0.266
USR_04278,1207.1,33.9,18,0.738,35,0.277,0.217,0.286,0.22,SmartTV,Standard,0.301,0.733
USR_01069,3360.9,51.0,20,0.859,65,0.722,0.031,0.074,0.173,Web,Premium,0.311,0.787
USR_04455,2765.3,89.7,19,0.937,30,0.29,0.09,0.13,0.49,Web,Basic,0.55,0.893
USR_04155,1593.6,37.7,22,0.661,42,0.381,0.276,0.246,0.097,SmartTV,Free,0.508,0.729
USR_04240,1393.6,46.9,20,0.609,29,0.256,0.261,0.243,0.24,SmartTV,Premium,0.364,0.75
USR_04869,3199.1,99.6,22,0.952,32,0.174,0.047,0.297,0.482,Console,Premium,0.698,0.865
USR_00331,3088.6,63.0,18,0.784,49,0.751,0.051,0.125,0.073,Mobile,Premium,0.377,0.891
USR_02058,956.8,34.0,9,0.638,28,0.081,0.743,0.159,0.017,Tablet,Premium,0.795,0.288
USR_02647,527.0,17.9,2,0.536,29,0.195,0.046,0.759,0.0,SmartTV,Basic,0.224,0.432
USR_02192,1265.7,48.8,10,0.546,25,0.149,0.569,0.093,0.189,SmartTV,Standard,0.586,0.585
USR_00623,3364.4,49.4,22,0.949,68,0.725,0.02,0.113,0.142,SmartTV,Standard,0.277,0.827
USR_01596,778.9,20.0,10,0.515,38,0.085,0.753,0.16,0.002,Mobile,Free,0.652,0.453
USR_02916,362.5,15.8,7,0.356,22,0.335,0.15,0.515,0.0,Mobile,Basic,0.33,0.478
USR_04822,4002.4,79.1,22,0.968,50,0.276,0.172,0.227,0.325,Mobile,Premium,0.543,0.946
USR_03899,2486.8,54.9,18,0.63,45,0.199,0.278,0.23,0.293,Tablet,Standard,0.385,0.513
USR_01920,1423.2,50.1,11,0.767,28,0.0,0.615,0.16,0.225,SmartTV,Free,0.501,0.312
USR_04174,1495.6,48.0,21,0.686,31,0.34,0.248,0.206,0.206,SmartTV,Standard,0.422,0.694
USR_04478,2942.1,92.4,15,0.953,31,0.168,0.088,0.119,0.625,Web,Standard,0.486,0.913
USR_00756,2690.1,56.0,23,0.821,48,0.845,0.063,0.014,0.078,SmartTV,Free,0.346,0.81
USR_00519,2532.1,58.0,20,0.887,43,0.854,0.07,0.076,0.0,SmartTV,Free,0.38,0.836
USR_03804,1666.7,40.2,9,0.786,41,0.273,0.178,0.252,0.297,Console,Standard,0.374,0.441
USR_00033,2028.5,51.1,23,0.846,39,0.706,0.07,0.112,0.112,SmartTV,Premium,0.379,0.812
USR_02938,298.6,28.0,2,0.237,10,0.144,0.188,0.46,0.208,Tablet,Basic,0.391,0.311
USR_01158,1910.6,29.1,26,0.953,65,0.741,0.045,0.096,0.118,SmartTV,Premium,0.424,0.86
USR_00745,1117.5,61.5,30,0.889,18,0.653,0.034,0.077,0.236,Tablet,Standard,0.339,0.919
USR_01498,1106.3,59.6,9,0.665,18,0.119,0.813,0.057,0.011,SmartTV,Basic,0.855,0.233
USR_03460,260.8,22.0,5,0.539,11,0.249,0.04,0.527,0.184,SmartTV,Free,0.414,0.335
USR_03756,1060.6,44.0,18,0.785,24,0.15,0.243,0.236,0.371,Web,Standard,0.437,0.508
